,bfe28199-ae60-41ee-8296-6c0ad1a5f237,e51aba7d-76b3-4781-852f-fea474674e34,fd9a7eab-529f-427b-8cde-49a62263833f,425b92af-8faf-4e4a-bda3-26c1a5d3d9bc
Beginners,82.0,69.0,69.0,53.0
Legend of the Guardians: the Owls of Ga'Hoole,77.0,73.0,69.0,46.0
Rabbit Hole,55.0,55.0,55.0,55.0
Meek's Cutoff,77.0,73.0,76.0,56.0
Conviction,79.0,76.0,63.0,55.0
My Name Is Khan,55.0,55.0,55.0,55.0
Last Night,77.0,73.0,76.0,56.0
The Company Men,77.0,73.0,76.0,56.0
Cyrus,77.0,73.0,76.0,56.0
Paranormal Activity 2,77.0,73.0,76.0,56.0
The Killer Inside Me,77.0,73.0,76.0,56.0
The Extra Man,77.0,73.0,76.0,56.0
Greenberg,77.0,73.0,76.0,56.0
Stone,82.0,73.0,76.0,53.0
Why Did I Get Married Too?,66.0,68.0,66.0,56.0
The Last Exorcism,77.0,73.0,70.0,56.0
Dirty Girl,77.0,73.0,76.0,56.0
London Boulevard,77.0,73.0,76.0,56.0
The Silence,55.0,55.0,55.0,55.0
The Back-up Plan,77.0,73.0,76.0,56.0
What If...,77.0,73.0,76.0,56.0
Udaan,55.0,55.0,55.0,55.0
Don't Be Afraid of the Dark,77.0,73.0,76.0,56.0
Country Strong,77.0,73.0,76.0,58.0
Little White Lies,56.0,56.0,56.0,56.0
Charlie St. Cloud,77.0,73.0,76.0,56.0
Snabba Cash,77.0,73.0,73.0,56.0
Stake Land,77.0,73.0,76.0,56.0
Vanishing on 7th Street,76.0,76.0,76.0,76.0
Barney's Version,56.0,56.0,56.0,56.0
You Will Meet a Tall Dark Stranger,77.0,73.0,76.0,56.0
The Conspirator,77.0,73.0,76.0,56.0
Furry Vengeance,66.0,76.0,66.0,56.0
The Tempest,77.0,73.0,76.0,56.0
Henry's Crime,77.0,73.0,76.0,56.0
Extraordinary Measures,77.0,73.0,76.0,56.0
Yogi Bear,63.0,76.0,68.0,45.0
My Soul to Take,76.0,76.0,76.0,76.0
Elle s'appelait Sarah,55.0,55.0,55.0,55.0
The Warrior's Way,77.0,73.0,73.0,56.0
Hatchet II,81.0,68.0,73.0,56.0
The Trip,56.0,56.0,56.0,56.0
Hesher,55.0,55.0,55.0,55.0
For Colored Girls,77.0,73.0,76.0,56.0
The Perfect Host,77.0,73.0,76.0,56.0
Love Ranch,79.0,76.0,65.0,58.0
Love Crime,77.0,73.0,76.0,56.0
Passion Play,76.0,76.0,76.0,76.0
Kaboom,77.0,73.0,76.0,56.0
Everything Must Go,77.0,73.0,76.0,56.0
Captain America: the First Avenger,77.0,73.0,73.0,56.0
Thor,88.0,72.0,72.0,55.0
Harry Potter and the Deathly Hallows: Part 2,55.0,55.0,55.0,55.0
Take Shelter,55.0,55.0,55.0,55.0
Bridesmaids,77.0,73.0,76.0,56.0
Fast Five,88.0,72.0,72.0,55.0
Midnight in Paris,56.0,56.0,56.0,56.0
Moneyball,79.0,76.0,63.0,55.0
Just Go with It,77.0,73.0,76.0,58.0
The Intouchables,79.0,76.0,63.0,55.0
Drive,55.0,55.0,55.0,55.0
Green Lantern,77.0,73.0,72.0,55.0
The Cabin in the Woods,55.0,55.0,55.0,55.0
The Help,55.0,55.0,55.0,55.0
"Crazy, Stupid, Love.",56.0,56.0,56.0,56.0
No Strings Attached,77.0,73.0,76.0,56.0
Pirates of the Caribbean: on Stranger Tides,77.0,73.0,73.0,56.0
Sucker Punch,77.0,73.0,73.0,56.0
Warrior,88.0,72.0,72.0,55.0
Kung Fu Panda 2,57.0,57.0,68.0,46.0
Friends with Benefits,77.0,73.0,76.0,56.0
Immortals,77.0,73.0,73.0,56.0
X-Men: First Class,88.0,72.0,72.0,55.0
Contagion,77.0,73.0,76.0,56.0
Bad Teacher,77.0,73.0,76.0,56.0
In Time,77.0,73.0,73.0,56.0
One Day,55.0,55.0,55.0,55.0
Scream 4,77.0,73.0,76.0,56.0
Shame,55.0,55.0,55.0,55.0
Mission: Impossible - Ghost Protocol,88.0,72.0,72.0,55.0
Super 8,55.0,55.0,55.0,55.0
We Need to Talk About Kevin,55.0,55.0,55.0,55.0
Limitless,76.0,68.0,68.0,42.0
Unknown,77.0,73.0,73.0,56.0
Transformers: Dark of the Moon,77.0,73.0,73.0,56.0
Cowboys & Aliens,77.0,73.0,73.0,56.0
Tinker Tailor Soldier Spy,55.0,55.0,55.0,55.0
The Twilight Saga: Breaking Dawn - Part 1,66.0,76.0,66.0,58.0
Cars 2,77.0,73.0,69.0,46.0
Rango,57.0,57.0,68.0,46.0
Melancholia,55.0,55.0,55.0,55.0
Source Code,88.0,72.0,72.0,55.0
Real Steel,88.0,72.0,72.0,55.0
Horrible Bosses,77.0,73.0,76.0,56.0
Rio,77.0,73.0,69.0,46.0
The Skin I Live In,55.0,55.0,55.0,55.0
Sherlock Holmes: A Game of Shadows,88.0,72.0,72.0,55.0
Sleeping Beauty,77.0,73.0,76.0,56.0
Tower Heist,77.0,73.0,73.0,56.0
Paul,55.0,55.0,55.0,55.0
We Bought a Zoo,56.0,56.0,56.0,56.0
Rise of the Planet of the Apes,84.0,70.0,72.0,53.0
Your Highness,77.0,73.0,76.0,56.0
The Lincoln Lawyer,55.0,55.0,55.0,55.0
Colombiana,77.0,73.0,73.0,56.0
Larry Crowne,77.0,73.0,76.0,56.0
Abduction,77.0,73.0,73.0,56.0
A Separation,55.0,55.0,55.0,55.0
Hugo,55.0,55.0,55.0,55.0
The Adjustment Bureau,55.0,55.0,55.0,55.0
10 Years,77.0,73.0,76.0,56.0
The Tree of Life,81.0,71.0,76.0,56.0
The Deep Blue Sea,77.0,73.0,76.0,56.0
Killer Joe,77.0,73.0,76.0,56.0
Kill the Irishman,79.0,76.0,63.0,55.0
War Horse,88.0,72.0,72.0,55.0
The Change-Up,77.0,73.0,76.0,56.0
The Raid: Redemption,88.0,72.0,72.0,55.0
Margin Call,55.0,55.0,55.0,55.0
Martha Marcy May Marlene,77.0,73.0,76.0,56.0
Hanna,77.0,73.0,73.0,56.0
50/50,56.0,56.0,56.0,56.0
The Descendants,56.0,56.0,56.0,56.0
The Adventures of Tintin,57.0,57.0,68.0,46.0
The Darkest Hour,73.0,76.0,72.0,73.0
Final Destination 5,77.0,73.0,73.0,56.0
I Am Number Four,77.0,73.0,73.0,56.0
You're Next,77.0,73.0,76.0,56.0
Zindagi Na Milegi Dobara,56.0,56.0,56.0,56.0
The Hunter,77.0,73.0,76.0,56.0
Drive Angry,77.0,73.0,73.0,56.0
Jack and Jill,66.0,76.0,66.0,56.0
Zookeeper,77.0,73.0,76.0,56.0
The Hangover Part II,77.0,73.0,76.0,56.0
Hall Pass,82.0,73.0,76.0,53.0
The Best Exotic Marigold Hotel,56.0,56.0,56.0,56.0
The Grey,77.0,73.0,73.0,58.0
The Sitter,77.0,73.0,76.0,56.0
Take Me Home Tonight,77.0,73.0,76.0,56.0
The Mechanic,77.0,73.0,73.0,56.0
Ghost Rider: Spirit of Vengeance,73.0,76.0,72.0,73.0
Battle Los Angeles,77.0,73.0,73.0,56.0
The Green Hornet,77.0,73.0,73.0,56.0
Killer Elite,77.0,73.0,73.0,56.0
Shark Night,76.0,76.0,76.0,76.0
J. Edgar,79.0,76.0,65.0,56.0
Dream House,77.0,73.0,76.0,56.0
Haywire,77.0,73.0,73.0,56.0
A Dangerous Method,79.0,76.0,65.0,56.0
The Muppets,55.0,55.0,55.0,55.0
The Smurfs,77.0,73.0,69.0,46.0
The Ides of March,55.0,55.0,55.0,55.0
Soul Surfer,79.0,76.0,63.0,55.0
The Artist,56.0,56.0,56.0,56.0
Water for Elephants,77.0,73.0,76.0,56.0
"Oslo, August 31st",55.0,55.0,55.0,55.0
The Snowtown Murders,79.0,76.0,65.0,56.0
Something Borrowed,77.0,73.0,76.0,56.0
The Human Centipede II (Full Sequence),76.0,76.0,76.0,76.0
Johnny English Reborn,77.0,73.0,73.0,56.0
The Inbetweeners,77.0,73.0,76.0,56.0
Bucky Larson: Born to Be a Star,66.0,76.0,66.0,56.0
Diary of a Wimpy Kid: Rodrick Rules,77.0,73.0,69.0,46.0
Kill List,77.0,73.0,73.0,56.0
Carnage,56.0,56.0,56.0,56.0
Attack the Block,77.0,73.0,73.0,56.0
The Guard,56.0,56.0,56.0,56.0
Young Adult,77.0,73.0,76.0,56.0
The Devil's Double,79.0,73.0,63.0,48.0
Another Earth,77.0,73.0,76.0,56.0
Perfect Sense,55.0,55.0,55.0,55.0
Like Crazy,77.0,73.0,76.0,56.0
What's Your Number?,77.0,73.0,76.0,56.0
Detachment,55.0,55.0,55.0,55.0
Gnomeo & Juliet,77.0,73.0,69.0,46.0
Puss in Boots,77.0,73.0,69.0,46.0
Beastly,77.0,73.0,76.0,56.0
The Art of Getting by,77.0,73.0,76.0,56.0
My Week with Marilyn,79.0,76.0,65.0,56.0
This Must Be the Place,77.0,73.0,76.0,56.0
Butter,77.0,73.0,76.0,56.0
Bernie,79.0,76.0,65.0,56.0
Season of the Witch,77.0,73.0,73.0,56.0
Silent House,77.0,73.0,76.0,56.0
Winnie the Pooh,57.0,57.0,68.0,46.0
Hobo with a Shotgun,77.0,73.0,73.0,56.0
The Eagle,77.0,73.0,72.0,55.0
The Rum Diary,77.0,73.0,76.0,56.0
Spy Kids 4-D: All the Time in the World,63.0,76.0,68.0,45.0
The Divide,77.0,73.0,76.0,56.0
Red Riding Hood,77.0,73.0,76.0,56.0
The Roommate,76.0,76.0,76.0,76.0
Salmon Fishing in the Yemen,77.0,73.0,76.0,56.0
Monte Carlo,74.0,73.0,76.0,56.0
The Rite,77.0,73.0,72.0,55.0
New Year's Eve,77.0,73.0,76.0,56.0
Sound of My Voice,81.0,68.0,76.0,56.0
W.E.,77.0,73.0,76.0,56.0
Goon,77.0,73.0,76.0,56.0
Extremely Loud & Incredibly Close,77.0,73.0,76.0,56.0
Alvin and the Chipmunks: Chipwrecked,66.0,76.0,70.0,45.0
House of Tolerance,77.0,73.0,76.0,56.0
Our Idiot Brother,77.0,73.0,76.0,56.0
Weekend,55.0,55.0,55.0,55.0
360,77.0,73.0,76.0,56.0
Sanctum,77.0,73.0,73.0,56.0
The Big Year,77.0,73.0,76.0,56.0
Jo Nesbø's Headhunters,88.0,72.0,72.0,55.0
Straw Dogs,77.0,73.0,73.0,56.0
Red State,77.0,73.0,73.0,56.0
Machine Gun Preacher,77.0,73.0,73.0,56.0
From Up on Poppy Hill,57.0,57.0,68.0,46.0
30 Minutes or Less,77.0,73.0,73.0,56.0
The Iron Lady,81.0,76.0,65.0,53.0
Your Sister's Sister,77.0,73.0,76.0,56.0
Mr. Popper's Penguins,77.0,73.0,76.0,56.0
Texas Killing Fields,82.0,73.0,76.0,53.0
Take This Waltz,77.0,73.0,76.0,56.0
A Good Old Fashioned Orgy,77.0,73.0,76.0,56.0
Special Forces,77.0,73.0,73.0,56.0
Courageous,55.0,55.0,55.0,55.0
Jin ling shi san chai,78.0,69.0,69.0,51.0
Apollo 18,77.0,73.0,76.0,56.0
Anonymous,77.0,73.0,76.0,56.0
Hop,77.0,73.0,69.0,46.0
Atlas Shrugged: Part I,77.0,73.0,76.0,56.0
Coriolanus,77.0,73.0,76.0,56.0
Elles,77.0,73.0,76.0,56.0
Angels Crest,77.0,73.0,76.0,56.0
Happy Feet Two,77.0,73.0,69.0,46.0
Hysteria,79.0,76.0,65.0,56.0
The Beaver,77.0,73.0,76.0,56.0
The Prey,82.0,73.0,73.0,53.0
Win Win,56.0,56.0,56.0,56.0
Rockstar,55.0,55.0,55.0,55.0
"Big Mommas: Like Father, Like Son",73.0,76.0,72.0,73.0
Tyrannosaur,55.0,55.0,55.0,55.0
Once Upon a Time in Anatolia,55.0,55.0,55.0,55.0
The Dilemma,77.0,73.0,76.0,56.0
Dolphin Tale,77.0,73.0,76.0,56.0
Django Unchained,55.0,55.0,55.0,55.0
The Hobbit: An Unexpected Journey,55.0,55.0,55.0,55.0
The Hunger Games,88.0,72.0,72.0,55.0
The Dark Knight Rises,88.0,72.0,72.0,55.0
Pitch Perfect,56.0,56.0,56.0,56.0
This Is 40,77.0,73.0,76.0,56.0
The Hunt,55.0,55.0,55.0,55.0
Prometheus,55.0,55.0,55.0,55.0
Moonrise Kingdom,56.0,56.0,56.0,56.0
The Impossible,57.0,57.0,72.0,55.0
Argo,79.0,76.0,63.0,55.0
The Twilight Saga: Breaking Dawn - Part 2,77.0,73.0,76.0,56.0
Jack Reacher,88.0,72.0,72.0,55.0
Zero Dark Thirty,55.0,55.0,55.0,55.0
Cloud Atlas,88.0,72.0,72.0,55.0
Skyfall,88.0,72.0,72.0,55.0
The Perks of Being a Wallflower,55.0,55.0,55.0,55.0
The Amazing Spider-Man,77.0,73.0,73.0,56.0
Silver Linings Playbook,56.0,56.0,56.0,56.0
Snow White and the Huntsman,77.0,73.0,73.0,56.0
The Master,55.0,55.0,55.0,55.0
Looper,88.0,72.0,72.0,55.0
Killing Them Softly,77.0,73.0,76.0,56.0
Flight,55.0,55.0,55.0,55.0
21 Jump Street,88.0,72.0,72.0,55.0
Ted,77.0,73.0,76.0,56.0
Sinister,77.0,73.0,76.0,56.0
This Means War,77.0,73.0,73.0,56.0
That's My Boy,77.0,73.0,76.0,56.0
Lincoln,79.0,76.0,63.0,55.0
Brave,57.0,57.0,68.0,46.0
The Place Beyond the Pines,55.0,55.0,55.0,55.0
Dredd,88.0,72.0,72.0,55.0
Dark Shadows,77.0,73.0,76.0,56.0
John Carter,77.0,73.0,73.0,56.0
Battleship,77.0,73.0,73.0,56.0
Magic Mike,77.0,73.0,76.0,56.0
Hotel Transylvania,57.0,57.0,68.0,46.0
Lawless,55.0,55.0,55.0,55.0
Spring Breakers,77.0,73.0,76.0,56.0
Underworld: Awakening,77.0,73.0,73.0,56.0
Piranha 3DD,66.0,76.0,66.0,56.0
Safe House,77.0,73.0,73.0,56.0
Seeking a Friend for the End of the World,77.0,73.0,76.0,56.0
Lore,55.0,55.0,55.0,55.0
The Bourne Legacy,77.0,73.0,73.0,56.0
Abraham Lincoln: Vampire Hunter,82.0,73.0,73.0,53.0
Wreck-It Ralph,57.0,57.0,68.0,46.0
American Reunion,77.0,73.0,76.0,56.0
Wanderlust,77.0,73.0,76.0,56.0
Savages,77.0,73.0,76.0,56.0
Life of Pi,55.0,55.0,55.0,55.0
Resident Evil: Retribution,77.0,73.0,73.0,56.0
Men in Black 3,77.0,73.0,73.0,56.0
Journey 2: The Mysterious Island,77.0,73.0,73.0,56.0
Seven Psychopaths,56.0,56.0,56.0,56.0
Rock of Ages,77.0,73.0,76.0,56.0
The Dictator,77.0,73.0,76.0,56.0
The Watch,77.0,73.0,76.0,56.0
The Expendables 2,77.0,73.0,73.0,56.0
Safety Not Guaranteed,56.0,56.0,56.0,56.0
Chronicle,55.0,55.0,55.0,55.0
End of Watch,88.0,72.0,72.0,55.0
Wrath of the Titans,77.0,73.0,73.0,56.0
Mud,55.0,55.0,55.0,55.0
The Lorax,77.0,73.0,69.0,46.0
Man on a Ledge,77.0,73.0,73.0,56.0
Diary of a Wimpy Kid: Dog Days,77.0,73.0,69.0,46.0
The Lucky One,77.0,73.0,76.0,56.0
Rise of the Guardians,57.0,57.0,68.0,46.0
The Iceman,79.0,76.0,65.0,56.0
Maniac,77.0,73.0,76.0,56.0
Byzantium,77.0,73.0,76.0,56.0
Frances Ha,56.0,56.0,56.0,56.0
Madagascar 3: Europe's Most Wanted,77.0,73.0,69.0,46.0
The Five-Year Engagement,77.0,73.0,76.0,56.0
House at the End of the Street,77.0,73.0,76.0,56.0
The Sessions,79.0,76.0,63.0,55.0
The Woman in Black,77.0,73.0,76.0,56.0
The Three Stooges,77.0,73.0,76.0,56.0
Think Like a Man,77.0,73.0,76.0,56.0
The Vow,77.0,73.0,76.0,56.0
Taken 2,77.0,73.0,73.0,56.0
Compliance,77.0,73.0,76.0,56.0
Rust and Bone,55.0,55.0,55.0,55.0
The Company You Keep,77.0,73.0,76.0,56.0
Hit and Run,77.0,73.0,73.0,56.0
Act of Valor,77.0,73.0,73.0,56.0
Passion,77.0,73.0,76.0,56.0
On the Road,77.0,73.0,76.0,56.0
Bullet to the Head,77.0,73.0,73.0,56.0
LOL,66.0,76.0,66.0,56.0
Gone,77.0,73.0,73.0,56.0
The First Time,77.0,73.0,76.0,56.0
Ice Age: Continental Drift,77.0,73.0,69.0,46.0
V/H/S,77.0,73.0,76.0,56.0
No One Lives,77.0,73.0,76.0,56.0
Mirror Mirror,77.0,73.0,76.0,56.0
About Cherry,76.0,76.0,76.0,76.0
Hitchcock,79.0,76.0,65.0,56.0
The Lords of Salem,77.0,73.0,76.0,56.0
Step Up Revolution,77.0,73.0,76.0,56.0
Ruby Sparks,56.0,56.0,56.0,56.0
Stuck in Love.,56.0,56.0,56.0,56.0
The Paperboy,77.0,73.0,76.0,56.0
The Possession,77.0,73.0,76.0,56.0
Silent Hill: Revelation,73.0,76.0,72.0,73.0
The Brass Teapot,77.0,73.0,76.0,56.0
Alex Cross,77.0,73.0,73.0,56.0
Amour,81.0,70.0,80.0,55.0
What to Expect When You're Expecting,77.0,73.0,76.0,56.0
Trouble with the Curve,77.0,73.0,76.0,56.0
Here Comes the Boom,82.0,73.0,73.0,53.0
The Collection,77.0,73.0,76.0,56.0
John Dies at the End,77.0,73.0,76.0,56.0
To Rome with Love,77.0,73.0,76.0,56.0
The Giant Mechanical Man,77.0,73.0,76.0,56.0
ParaNorman,57.0,57.0,68.0,46.0
Contraband,77.0,73.0,73.0,56.0
Red Lights,77.0,73.0,72.0,55.0
Arbitrage,77.0,73.0,76.0,56.0
The Man with the Iron Fists,77.0,73.0,73.0,56.0
Cosmopolis,77.0,73.0,76.0,56.0
The Campaign,81.0,68.0,76.0,56.0
Frankenweenie,77.0,73.0,70.0,46.0
A Royal Affair,79.0,76.0,63.0,55.0
The Guilt Trip,77.0,73.0,76.0,56.0
Stand Up Guys,77.0,73.0,76.0,56.0
The Bay,77.0,73.0,76.0,56.0
The Words,55.0,55.0,55.0,55.0
The Broken Circle Breakdown,66.0,73.0,66.0,48.0
Thanks for Sharing,77.0,73.0,76.0,56.0
Starlet,77.0,73.0,76.0,56.0
The Angels' Share,56.0,56.0,56.0,56.0
Universal Soldier: Day of Reckoning,68.0,76.0,72.0,55.0
Beasts of the Southern Wild,55.0,55.0,55.0,55.0
Red Tails,77.0,73.0,73.0,56.0
In the House,82.0,69.0,69.0,53.0
The Cold Light of Day,73.0,76.0,72.0,73.0
The Apparition,76.0,76.0,76.0,76.0
To the Wonder,77.0,73.0,76.0,56.0
Lockout,77.0,73.0,73.0,56.0
Chasing Mavericks,79.0,76.0,63.0,55.0
One for the Money,77.0,73.0,73.0,56.0
Bachelorette,77.0,73.0,70.0,56.0
Lay the Favorite,66.0,76.0,66.0,56.0
Kahaani,55.0,55.0,55.0,55.0
Parental Guidance,82.0,73.0,76.0,53.0
The Raven,77.0,73.0,76.0,56.0
Liberal Arts,77.0,73.0,76.0,56.0
Stolen,77.0,73.0,73.0,56.0
Kon-Tiki,55.0,55.0,55.0,55.0
Paranormal Activity 4,76.0,76.0,76.0,76.0
28 Hotel Rooms,77.0,73.0,76.0,56.0
Upside Down,77.0,73.0,76.0,56.0
The Odd Life of Timothy Green,82.0,73.0,76.0,53.0
Premium Rush,77.0,73.0,73.0,56.0
Not Fade Away,77.0,73.0,76.0,56.0
Disconnect,55.0,55.0,55.0,55.0
Sightseers,77.0,73.0,76.0,56.0
The Pirates! Band of Misfits,77.0,73.0,69.0,46.0
Chernobyl Diaries,76.0,76.0,76.0,76.0
Celeste & Jesse Forever,77.0,73.0,76.0,56.0
Talaash,55.0,55.0,55.0,55.0
Hope Springs,77.0,73.0,76.0,56.0
People Like Us,57.0,57.0,72.0,55.0
The ABCs of Death,66.0,76.0,66.0,56.0
Into the White,88.0,72.0,72.0,55.0
The Sweeney,77.0,73.0,73.0,56.0
Vamps,77.0,73.0,76.0,56.0
Barfi!,56.0,56.0,56.0,56.0
Bel Ami,77.0,73.0,76.0,56.0
Unfinished Song,56.0,56.0,56.0,56.0
A Thousand Words,77.0,73.0,76.0,56.0
Like Someone in Love,55.0,55.0,55.0,55.0
Escape from Planet Earth,77.0,73.0,69.0,46.0
The Reluctant Fundamentalist,77.0,73.0,76.0,56.0
Ginger & Rosa,77.0,73.0,76.0,56.0
"For a Good Time, Call...",81.0,68.0,76.0,56.0
Big Miracle,79.0,76.0,65.0,56.0
What Maisie Knew,55.0,55.0,55.0,55.0
The Devil Inside,76.0,76.0,76.0,76.0
Fun Size,77.0,73.0,76.0,56.0
"Farewell, My Queen",77.0,73.0,76.0,56.0
The Magic of Belle Isle,56.0,56.0,56.0,56.0
Robot & Frank,56.0,56.0,56.0,56.0
The Wolf of Wall Street,79.0,76.0,63.0,55.0
Iron Man 3,88.0,72.0,72.0,55.0
The Conjuring,55.0,55.0,55.0,55.0
Prisoners,55.0,55.0,55.0,55.0
Thor: The Dark World,77.0,73.0,73.0,56.0
The Purge,81.0,68.0,76.0,56.0
Grown Ups 2,77.0,73.0,76.0,56.0
Fast & Furious 6,88.0,72.0,72.0,55.0
Gravity,55.0,55.0,55.0,55.0
About Time,56.0,56.0,56.0,56.0
The Hobbit: The Desolation of Smaug,55.0,55.0,55.0,55.0
Man of Steel,88.0,72.0,72.0,55.0
Under the Skin,77.0,73.0,76.0,56.0
Blue Is the Warmest Colour,55.0,55.0,55.0,55.0
Only Lovers Left Alive,56.0,56.0,56.0,56.0
Her,55.0,55.0,55.0,55.0
Snowpiercer,88.0,72.0,72.0,55.0
We're the Millers,56.0,56.0,56.0,56.0
Kick-Ass 2,77.0,73.0,73.0,56.0
The Great Gatsby,55.0,55.0,55.0,55.0
American Hustle,55.0,55.0,55.0,55.0
The Green Inferno,77.0,73.0,76.0,56.0
Monsters University,57.0,57.0,68.0,46.0
Don Jon,77.0,73.0,76.0,56.0
Now You See Me,55.0,55.0,55.0,55.0
Oblivion,88.0,72.0,72.0,55.0
Identity Thief,77.0,73.0,76.0,56.0
Nymphomaniac: Vol. I,77.0,73.0,76.0,58.0
Star Trek Into Darkness,88.0,72.0,72.0,55.0
The Hunger Games: Catching Fire,88.0,72.0,72.0,55.0
Homefront,77.0,73.0,73.0,56.0
Movie 43,66.0,76.0,66.0,56.0
World War Z,88.0,72.0,72.0,55.0
12 Years a Slave,79.0,76.0,63.0,55.0
G.I. Joe: Retaliation,77.0,73.0,73.0,56.0
Dallas Buyers Club,79.0,76.0,63.0,58.0
The Secret Life of Walter Mitty,57.0,57.0,72.0,55.0
Pacific Rim,77.0,73.0,73.0,56.0
The Croods,57.0,57.0,68.0,46.0
This Is the End,77.0,73.0,76.0,56.0
The Way Way Back,56.0,56.0,56.0,56.0
The Internship,77.0,73.0,76.0,56.0
Elysium,77.0,73.0,73.0,56.0
Hansel & Gretel: Witch Hunters,77.0,73.0,73.0,56.0
Captain Phillips,55.0,55.0,55.0,55.0
Evil Dead,77.0,73.0,76.0,56.0
White House Down,77.0,73.0,73.0,56.0
Enemy,77.0,73.0,76.0,56.0
Olympus Has Fallen,77.0,73.0,73.0,56.0
Lone Survivor,88.0,67.0,72.0,55.0
Oz the Great and Powerful,77.0,73.0,76.0,56.0
Pain & Gain,77.0,73.0,73.0,56.0
Out of the Furnace,77.0,73.0,73.0,56.0
Coherence,55.0,55.0,55.0,55.0
Ender's Game,77.0,73.0,72.0,55.0
Anchorman 2: the Legend Continues,77.0,73.0,76.0,56.0
The World's End,56.0,56.0,56.0,56.0
Stoker,77.0,73.0,76.0,56.0
The Mortal Instruments: City of Bones,77.0,73.0,73.0,56.0
Mama,77.0,73.0,76.0,56.0
Riddick,77.0,73.0,73.0,56.0
A Good Day to Die Hard,77.0,73.0,73.0,56.0
Escape Plan,77.0,73.0,73.0,56.0
The Wolverine,77.0,73.0,73.0,56.0
Texas Chainsaw,76.0,76.0,76.0,76.0
Despicable Me 2,57.0,57.0,68.0,46.0
47 Ronin,77.0,73.0,73.0,56.0
Adore,77.0,73.0,76.0,56.0
Machete Kills,77.0,73.0,73.0,56.0
Warm Bodies,77.0,73.0,76.0,56.0
Percy Jackson: Sea of Monsters,77.0,73.0,76.0,56.0
Blue Jasmine,56.0,56.0,56.0,56.0
Nymphomaniac: Vol. II,77.0,73.0,76.0,56.0
Safe Haven,77.0,73.0,76.0,56.0
Gangster Squad,77.0,73.0,73.0,56.0
August: Osage County,66.0,67.0,66.0,56.0
Locke,81.0,68.0,69.0,55.0
Before Midnight,55.0,55.0,55.0,55.0
Young & Beautiful,77.0,73.0,76.0,56.0
Begin Again,56.0,56.0,56.0,56.0
Oculus,77.0,73.0,76.0,56.0
Big Bad Wolves,77.0,73.0,76.0,56.0
The Counselor,77.0,73.0,76.0,58.0
Parker,77.0,73.0,73.0,56.0
The Call,77.0,73.0,76.0,56.0
Scary Movie V,66.0,76.0,66.0,56.0
R.I.P.D.,77.0,73.0,73.0,56.0
Inside Llewyn Davis,56.0,56.0,56.0,56.0
The To Do List,77.0,73.0,76.0,56.0
Carrie,77.0,73.0,76.0,56.0
The Lone Ranger,77.0,73.0,73.0,56.0
Turbo,77.0,73.0,69.0,46.0
What If,77.0,73.0,76.0,56.0
2 Guns,77.0,73.0,73.0,56.0
Enough Said,56.0,56.0,56.0,56.0
Side Effects,55.0,55.0,55.0,55.0
The Heat,77.0,73.0,73.0,58.0
Insidious: Chapter 2,77.0,73.0,76.0,56.0
Redemption,77.0,73.0,73.0,56.0
Belle,79.0,76.0,63.0,55.0
Horns,77.0,73.0,76.0,56.0
After Earth,73.0,76.0,72.0,73.0
Lee Daniels' The Butler,79.0,76.0,63.0,55.0
Only God Forgives,77.0,73.0,73.0,56.0
RED 2,77.0,73.0,73.0,56.0
Blood Ties,77.0,73.0,73.0,56.0
The Great Beauty,55.0,55.0,55.0,55.0
Dead Man Down,77.0,73.0,73.0,56.0
The Spectacular Now,56.0,56.0,56.0,56.0
42,79.0,76.0,63.0,55.0
The Best Offer,55.0,55.0,55.0,55.0
The Last Stand,77.0,73.0,73.0,56.0
Filth,56.0,56.0,56.0,56.0
The Grand Seduction,56.0,56.0,56.0,56.0
I Spit on Your Grave 2,77.0,73.0,76.0,56.0
Short Term 12,55.0,55.0,55.0,55.0
Saving Mr. Banks,79.0,76.0,63.0,55.0
The Book Thief,55.0,55.0,55.0,55.0
The Hangover Part III,77.0,73.0,76.0,56.0
Lovelace,79.0,76.0,65.0,56.0
The Bling Ring,79.0,76.0,65.0,56.0
The Family,77.0,73.0,76.0,56.0
The Wind Rises,57.0,57.0,68.0,46.0
Life of Crime,77.0,73.0,76.0,56.0
Joe,77.0,73.0,76.0,58.0
Delivery Man,82.0,73.0,76.0,53.0
Afternoon Delight,77.0,73.0,76.0,56.0
Grudge Match,77.0,73.0,76.0,56.0
Planes,77.0,73.0,69.0,46.0
Cloudy with a Chance of Meatballs 2,77.0,73.0,69.0,46.0
Jack the Giant Slayer,77.0,73.0,72.0,55.0
Blue Ruin,55.0,55.0,55.0,55.0
Epic,77.0,73.0,69.0,46.0
Dark Skies,77.0,73.0,76.0,56.0
Nebraska,55.0,55.0,55.0,55.0
The Kings of Summer,55.0,55.0,55.0,55.0
Bhaag Milkha Bhaag,79.0,76.0,63.0,55.0
Labor Day,77.0,73.0,76.0,56.0
Trance,77.0,73.0,76.0,56.0
Broken City,77.0,73.0,73.0,56.0
The Zero Theorem,77.0,73.0,76.0,56.0
All Is Lost,77.0,73.0,73.0,56.0
Third Person,77.0,73.0,76.0,48.0
One Chance,79.0,76.0,65.0,56.0
The Grandmaster,77.0,73.0,73.0,56.0
The Incredible Burt Wonderstone,77.0,73.0,76.0,56.0
Austenland,77.0,73.0,76.0,56.0
